Clave,Institución,Grupo
40138,ABC Capital,Comercial_Pequenio
40102,Accendo Banco,
40133,Actinver,Comercial_Mediano
40062,Afirme,Bancos_cambiarios
40103,American Express,Credito_Hogares
40128,Autofin,Comercial_Pequenio
40042,Banca Mifel,Comercial_Mediano
40131,Banco Ahorro Famsa,Credito_Hogares
40127,Banco Azteca,Credito_Hogares
40145,Banco Base,Bancos_cambiarios
40146,Banco Bicentenario,
40139,Banco de Inversión Afirme,Inversion_SF
40030,Banco del Bajío,Comercial_Mediano
40149,Banco Forjadores,Credito_Hogares
40134,Banco Wal-Mart,
40137,BanCoppel,Credito_Hogares
40152,Bancrea,Comercial_Pequenio
40106,Bank of America,Inversion_SF
40159,Bank of China,Comercial_Pequenio
40147,Bankaool,Comercial_Pequenio
40072,Banorte,G7
40058,Banregio,Comercial_Mediano
40060,Bansí,Comercial_Mediano
40012,BBVA México,G7
40143,CIBanco,Bancos_cambiarios
40002,Citibanamex,G7
40130,Compartamos,Credito_Hogares
40140,Consubanco,Credito_Hogares
40126,Credit Suisse,Inversion_SF
40124,Deutsche Bank,Inversion_SF
40151,Dondé Banco,Comercial_Pequenio
40154,Finterra,Comercial_Pequenio
40021,HSBC,G7
40155,ICBC,Comercial_Pequenio
40036,Inbursa,G7
40150,Inmobiliario Mexicano,Comercial_Pequenio
40037,Interacciones,
40136,Intercam Banco,Comercial_Pequenio
40059,Invex,Inversion_SF
40032,Ixe,
40110,J.P. Morgan,Inversion_SF
40162,KEB Hana México,Comercial_Pequenio
40158,Mizuho Bank,Comercial_Pequenio
40112,Monex,Bancos_cambiarios
40108,MUFG Bank,Comercial_Pequenio
40132,Multiva,Comercial_Mediano
40156,Sabadell,Comercial_Mediano
40014,Santander,G7
40307,Santander Vivienda,
40044,Scotiabank,G7
40157,Shinhan,Comercial_Pequenio
40113,Ve por Más,Comercial_Mediano
