Clave,Estado,Abreviatura
1,Aguascalientes,Ags
2,Baja California,BC
3,Baja California Sur,BCS
4,Campeche,Camp
5,Coahulia,Coah
6,Colima,Col
7,Chiapas,Chis
8,Chihuahua,Chih
9,Ciudad de Mexico,CDMX
10,Durango,Dgo
11,Guanajuato,Gto
12,Guerrero,Gro
13,Hidalgo,Hgo
14,Jalisco,Jal
15,Estado de Mexico,Mex
16,Michoacan,Mich
17,Morelos,Mor
18,Nayarit,Nay
19,Nuevo Leon,NL
20,Oaxaca,Oax
21,Puebla,Pue
22,Queretaro,Qro
23,Quintana Roo,QR
24,San Luis Potosi,SLP
25,Sinaloa,Sin
26,Sonora,Son
27,Tabasco,Tab
28,Tamaulipas,Tam
29,Tlaxcala,Tlax
30,Veracruz,Ver
31,Yucatan,Yuc
32,Zacatecas,Zac
999,Extranjero,EXT
