,(1),(2),(3),(4)
,Log Loan Amount,no_iv_industry_year,iv_model,iv_industry_year
Interest rate,-0.254***,-0.254***,-0.387***,-0.386***
,(0.0378),(0.0379),(0.0570),(0.0567)
Term,-0.0404***,-0.0403***,0.0440,0.0426
,(0.00589),(0.00551),(0.0313),(0.0310)
Inflation rate,0.0991***,0.0993***,0.130***,0.130***
,(0.0213),(0.0212),(0.0252),(0.0249)
Citibanamex,0.121,0.121,0.384**,0.379**
,(0.109),(0.108),(0.167),(0.166)
Santander,-0.611***,-0.610***,-0.386***,-0.389***
,(0.132),(0.132),(0.140),(0.140)
HSBC,-0.488***,-0.487***,-0.269*,-0.272*
,(0.111),(0.110),(0.143),(0.142)
Inbursa,-0.161,-0.163,-0.202,-0.202
,(0.216),(0.217),(0.219),(0.219)
Scotiabank,-0.0654,-0.0648,-0.000216,-0.000751
,(0.0690),(0.0694),(0.0759),(0.0760)
Banorte,-0.158,-0.158,0.202,0.196
,(0.125),(0.124),(0.128),(0.126)
Industry effects ,Yes,Yes,Yes,Yes
Year effects ,Yes,Yes,Yes,Yes
Industry-Year effects ,Yes,Yes,Yes,Yes
F first stage,,,82.03,
F first stage,,,,83.13
