="",="(1)"
="",="Log Loan Amount"
="log_wa_interest_rate_d",="-0.267"
="",="(0.281)"
="Term",="-0.0787***"
="",="(0.0170)"
="Inflation rate",="0.0404***"
="",="(0.0107)"
="Citibanamex",="-0.0285"
="",="(0.109)"
="Santander",="-0.703***"
="",="(0.155)"
="HSBC",="-0.710***"
="",="(0.118)"
="Inbursa",="-0.0541"
="",="(0.194)"
="Scotiabank",="-0.323***"
="",="(0.100)"
="Banorte",="-0.266*"
="",="(0.151)"
="Industry effects ",="Yes"
="Year effects ",="Yes"
="Industry-Year effects ",="Yes"
="Observations",="9900"
="R-squared",="0.497"
="F first stage",="1334.505305196501"
