,(1),(2),(3),(4)
,Log Loan Amount,no_iv_industry_year,iv_model,iv_industry_year
Interest rate,-0.0894***,-0.0931***,0.508*,0.463*
,(0.0227),(0.0226),(0.305),(0.252)
Term,-0.113***,-0.112***,-0.408**,-0.384**
,(0.0228),(0.0224),(0.189),(0.159)
Inflation rate,0.0768***,0.0769***,-0.00561,0.000789
,(0.00900),(0.00904),(0.0606),(0.0508)
Citibanamex,-0.101,-0.0990,-1.137**,-1.056***
,(0.122),(0.121),(0.490),(0.396)
Santander,-0.436***,-0.435***,-1.446***,-1.369***
,(0.101),(0.102),(0.504),(0.409)
HSBC,-0.158,-0.157,-1.057***,-0.985***
,(0.229),(0.227),(0.226),(0.194)
Inbursa,0.0941,0.0913,-0.0720,-0.0689
,(0.167),(0.166),(0.183),(0.177)
Scotiabank,-0.330***,-0.328***,-0.482***,-0.470***
,(0.0927),(0.0921),(0.136),(0.125)
Banorte,-0.267,-0.267,-1.432**,-1.342**
,(0.192),(0.195),(0.687),(0.573)
Industry effects ,Yes,Yes,Yes,Yes
Year effects ,Yes,Yes,Yes,Yes
Industry-Year effects ,Yes,Yes,Yes,Yes
F first stage,,,10.33,
F first stage,,,,15.94
