="",="(1)"
="",="Log Loan Amount"
="log_wa_interest_rate_d",="5.271*"
="",="(2.860)"
="Term",="-0.457**"
="",="(0.218)"
="Inflation rate",="-0.0543"
="",="(0.0913)"
="Citibanamex",="-1.335**"
="",="(0.587)"
="Santander",="-1.549***"
="",="(0.520)"
="HSBC",="-0.908***"
="",="(0.266)"
="Inbursa",="0.0162"
="",="(0.261)"
="Scotiabank",="-0.498***"
="",="(0.127)"
="Banorte",="-1.489**"
="",="(0.759)"
="Industry effects ",="Yes"
="Year effects ",="Yes"
="Industry-Year effects ",="Yes"
="Observations",="4418"
="R-squared",="-1.047"
="F first stage",="6.581213261159904"
