="",="(1)",="(2)",="(3)",="(4)"
="",="Log Loan Amount",="no_iv_industry_year",="iv_model",="iv_industry_year_log"
="Interest rate",="-0.0894***",="-0.0931***",="0.463*",=""
="",="(0.0227)",="(0.0226)",="(0.252)",=""
="log(Term)",="-0.113***",="-0.112***",="-0.384**",=""
="",="(0.0228)",="(0.0224)",="(0.159)",=""
="Inflation rate",="0.0768***",="0.0769***",="0.000789",="0.00624"
="",="(0.00900)",="(0.00904)",="(0.0508)",="(0.0753)"
="Citibanamex",="-0.101",="-0.0990",="-1.056***",="-0.114"
="",="(0.122)",="(0.121)",="(0.396)",="(0.202)"
="Santander",="-0.436***",="-0.435***",="-1.369***",="-0.444**"
="",="(0.101)",="(0.102)",="(0.409)",="(0.200)"
="HSBC",="-0.158",="-0.157",="-0.985***",="-0.102"
="",="(0.229)",="(0.227)",="(0.194)",="(0.297)"
="Inbursa",="0.0941",="0.0913",="-0.0689",="-0.136"
="",="(0.167)",="(0.166)",="(0.177)",="(0.229)"
="Scotiabank",="-0.330***",="-0.328***",="-0.470***",="-0.543***"
="",="(0.0927)",="(0.0921)",="(0.125)",="(0.199)"
="Banorte",="-0.267",="-0.267",="-1.342**",="0.0305"
="",="(0.192)",="(0.195)",="(0.573)",="(0.177)"
="log(Interest rate)",="",="",="",="2.376"
="",="",="",="",="(2.417)"
="Term",="",="",="",="-0.386"
="",="",="",="",="(0.238)"
="Industry effects ",="Yes",="Yes",="Yes",="Yes"
="Year effects ",="Yes",="Yes",="Yes",="Yes"
="Industry-Year effects ",="Yes",="Yes",="Yes",="Yes"
="Observations",="4418",="4418",="4418",="4418"
="R-squared",="0.226",="0.243",="-0.377",="-0.390"
="elas_i",="-0.759",="-0.791",="3.926",=""
="elas_i_SE",="0.193",="0.192",="2.142",=""
="elas_t",="-0.792",="-0.792",="-2.704",=""
="elas_t_SE",="0.161",="0.161",="1.117",=""
="F first stage",="",="",="15.94",=""
="F first stage",="",="",="",="7.273907626907638"
