="",="(1)",="(2)",="(3)",="(4)"
="",="Log Loan Amount",="no_iv_industry_year",="iv_model",="iv_industry_year"
="Interest rate",="-0.201***",="-0.200***",="-0.134***",="-0.136***"
="",="(0.0191)",="(0.0196)",="(0.0253)",="(0.0246)"
="Term",="0.0421***",="0.0428***",="0.0121",="0.0142"
="",="(0.0148)",="(0.0146)",="(0.0242)",="(0.0238)"
="Inflation rate",="0.0728***",="0.0735***",="0.0512***",="0.0529***"
="",="(0.0206)",="(0.0206)",="(0.0171)",="(0.0169)"
="Citibanamex",="0.311***",="0.314***",="0.225*",="0.231**"
="",="(0.106)",="(0.106)",="(0.115)",="(0.115)"
="Santander",="-0.696***",="-0.694***",="-0.753***",="-0.748***"
="",="(0.175)",="(0.175)",="(0.182)",="(0.182)"
="HSBC",="-0.910***",="-0.911***",="-1.001***",="-0.998***"
="",="(0.118)",="(0.118)",="(0.109)",="(0.110)"
="Inbursa",="-0.231",="-0.237",="-0.162",="-0.170"
="",="(0.227)",="(0.227)",="(0.236)",="(0.235)"
="Scotiabank",="-0.125",="-0.128",="-0.197**",="-0.198**"
="",="(0.0943)",="(0.0947)",="(0.0997)",="(0.0995)"
="Banorte",="0.130",="0.133",="0.00528",="0.0146"
="",="(0.179)",="(0.179)",="(0.193)",="(0.193)"
="Industry effects ",="Yes",="Yes",="Yes",="Yes"
="Year effects ",="Yes",="Yes",="Yes",="Yes"
="Industry-Year effects ",="Yes",="Yes",="Yes",="Yes"
="F first stage",="",="",="325.6",=""
="F first stage",="",="",="",="372.0"
