="",="(1)"
="",="Log Loan Amount"
="log_wa_interest_rate_d",="-1.398***"
="",="(0.230)"
="Term",="0.00895"
="",="(0.0215)"
="Inflation rate",="0.0503***"
="",="(0.0154)"
="Citibanamex",="0.210*"
="",="(0.115)"
="Santander",="-0.817***"
="",="(0.194)"
="HSBC",="-1.083***"
="",="(0.113)"
="Inbursa",="-0.228"
="",="(0.229)"
="Scotiabank",="-0.232**"
="",="(0.102)"
="Banorte",="-0.0442"
="",="(0.180)"
="Industry effects ",="Yes"
="Year effects ",="Yes"
="Industry-Year effects ",="Yes"
="Observations",="5482"
="R-squared",="0.380"
="F first stage",="243.2731924777443"
