="",="(1)",="(2)",="(3)",="(4)"
="",="Log Loan Amount",="no_iv_industry_year",="iv_model",="iv_industry_year_log"
="Interest rate",="-0.201***",="-0.200***",="-0.136***",=""
="",="(0.0191)",="(0.0196)",="(0.0246)",=""
="Term",="0.0421***",="0.0428***",="0.0142",=""
="",="(0.0148)",="(0.0146)",="(0.0238)",=""
="Inflation rate",="0.0728***",="0.0735***",="0.0529***",="0.0530***"
="",="(0.0206)",="(0.0206)",="(0.0169)",="(0.0157)"
="Citibanamex",="0.311***",="0.314***",="0.231**",="0.225**"
="",="(0.106)",="(0.106)",="(0.115)",="(0.101)"
="Santander",="-0.696***",="-0.694***",="-0.748***",="-0.786***"
="",="(0.175)",="(0.175)",="(0.182)",="(0.186)"
="HSBC",="-0.910***",="-0.911***",="-0.998***",="-1.070***"
="",="(0.118)",="(0.118)",="(0.110)",="(0.109)"
="Inbursa",="-0.231",="-0.237",="-0.170",="-0.223"
="",="(0.227)",="(0.227)",="(0.235)",="(0.234)"
="Scotiabank",="-0.125",="-0.128",="-0.198**",="-0.231**"
="",="(0.0943)",="(0.0947)",="(0.0995)",="(0.0949)"
="Banorte",="0.130",="0.133",="0.0146",="0.00354"
="",="(0.179)",="(0.179)",="(0.193)",="(0.144)"
="log(Interest rate)",="",="",="",="-1.435***"
="",="",="",="",="(0.229)"
="log(Term)",="",="",="",="0.139"
="",="",="",="",="(0.0916)"
="Industry effects ",="Yes",="Yes",="Yes",="Yes"
="Year effects ",="Yes",="Yes",="Yes",="Yes"
="Industry-Year effects ",="Yes",="Yes",="Yes",="Yes"
="Observations",="5482",="5482",="5482",="5482"
="R-squared",="0.384",="0.393",="0.377",="0.384"
="elas_i",="-2.536",="-2.527",="-1.723",=""
="elas_i_SE",="0.242",="0.248",="0.311",=""
="elas_t",="0.480",="0.480",="0.162",=""
="elas_t_SE",="0.168",="0.168",="0.272",=""
="F first stage",="",="",="372.0",=""
="F first stage",="",="",="",="233.4784194435709"
